year,exports,imports,primary_energy_supply,foss_thermal_prod,bio_thermal_prod,thermal_prodiction,hydropower_production,wind_production,solar_production,total_production,import_dependency,domestic_supply,energy_balance,renew_prod_%,no_renew_prod_%,country
2000,169.83740849999998,2186.102275712873,3104.7,42.5747988,0.0,42.5747988,606.357448,0.0,0.0,648.9322468000001,0.6494234119924222,0.2090160874802719,2665.197114012873,0.9343925363395887,0.0656074636604112,Uruguay
2001,265.41815859999997,1851.3319082669477,2816.0,1.27882,4.3e-05,1.278863,790.6887300000001,0.0,0.0,791.9675930000001,0.5631795986033196,0.2812384918323864,2377.881342666948,0.9983852622111016,0.00161473778889839,Uruguay
2002,222.09291690000003,1534.575795620987,2480.1,2.2349422000000003,0.037625,2.2725672,820.041476,0.0,0.0,822.3140432,0.5292056282895798,0.33156487367444865,2134.796921920987,0.9972821305698456,0.0027178694301544675,Uruguay
2003,254.4565162,2003.880917843125,2776.0,0.567944,0.0,0.567944,733.760471,0.0,0.0,734.3284150000001,0.6301961101019902,0.2645275270172911,2483.7528166431252,0.9992265803850175,0.000773419614982487,Uruguay
2004,377.5337126,2625.4857161336786,2989.6,92.603768,0.0,92.603768,409.559778,0.0,0.0,502.163546,0.7519240043931223,0.1679701451699224,2750.1155495336784,0.8155904212130922,0.1844095787869078,Uruguay
2005,433.9468872000001,2429.3185328893014,2958.1,82.245154,0.0,82.245154,574.7476320000001,0.0,0.0,656.992872,0.6745450274464356,0.22209961529360064,2652.364517689301,0.8748157590361194,0.12518424096388064,Uruguay
2006,260.3830962,2676.7185145162643,3300.4,169.50213,0.0,169.50213,309.08000100000004,0.0,0.0,478.582131,0.7321341105066853,0.1450073115379954,2894.9175493162643,0.645824365306276,0.35417563469372404,Uruguay
2007,268.3395359,2189.5954152459835,3192.5,104.42937,1.9712001520000026,106.400570152,693.91207,0.0,0.0,800.3126401520001,0.6018029379313965,0.25068524358715744,2721.5685194979837,0.8695142813436432,0.1304857186563568,Uruguay
2008,291.4566621000001,2972.641802567962,4022.0,290.756320442,12.118195930000072,302.8745163720001,387.002838,0.0,0.0,689.8773543720001,0.6666298211009354,0.17152594589060172,3371.0624948399623,0.5785391148160278,0.4214608851839721,Uruguay
2009,169.9438502,3055.411925535161,4176.2,225.984563796,15.764603644200022,241.74916744020004,445.02506,3.5804915006,0.0,690.354718958,0.6909314868385521,0.16530691033906425,3575.822794293161,0.6726544230231466,0.3273455769768534,Uruguay
2010,261.6061162,2622.512605011409,4134.2,99.19657335640001,23.41873688400001,122.61531024040002,721.817221,5.848321639999999,0.0,850.2808528804002,0.5710673138240552,0.20566998521609992,3211.1873416918093,0.883336696315855,0.11666330368414508,Uruguay
2011,69.5900227,2644.532923379248,4286.6,224.09753167200003,28.232743231999947,252.330274904,557.185185,9.57182752,0.0,819.087287424,0.6006958663461129,0.191080877017683,3394.030188103248,0.7264057993418763,0.2735942006581236,Uruguay
2012,124.71472830000002,3304.591262622491,4864.6,321.2234924884,39.502624584000046,360.72611707240003,452.15226497209756,9.53515454,0.0,822.4135322672977,0.6536768766851315,0.16906087494702496,4002.2900665897882,0.6094136588404322,0.39058634115956786,Uruguay
2013,41.3916927,2361.989128952154,4456.0,159.13737085280002,45.85774037119998,204.995111224,705.6962821506718,12.015071180000001,0.029670860000000004,922.7361351629293,0.5207803941319914,0.20707722961466096,3243.333571415083,0.8275375106831588,0.1724624893168412,Uruguay
2014,120.1959546,2221.5035474197375,4776.3,56.88681202240002,58.607663319199986,115.49447534160001,829.8251945437397,62.565453219999995,0.05991018,1007.945032562899,0.439944641839863,0.21103051160163702,3109.252625382637,0.9435615929593362,0.0564384070406638,Uruguay
2015,87.00370600000001,2293.9227291866487,5204.7,79.767081114,71.275340623,151.042421737,675.4919877016496,176.88874473399997,3.7013982039999997,1007.1245523766495,0.42402425176987124,0.19350290168052905,3214.0435755632984,0.9207972033590456,0.0792027966409544,Uruguay
2016,58.621814,2132.752450658149,5220.9,37.029200212999996,74.14004477540001,111.16924498840001,653.7278379020482,256.7770411108,12.238009791840001,1033.912133793088,0.3972745382325172,0.19803331490606757,3108.0427704512367,0.9641853509570955,0.035814649042904524,Uruguay
2017,125.70310400000001,1809.7712741399087,5120.7,19.008769544,77.58595455780002,96.59472410180003,625.8226242925889,323.00908811979997,21.057388108599998,1066.4838246227887,0.32887460115607414,0.20826914769910143,2750.551994762697,0.9821762233002237,0.017823776699776323,Uruguay
2018,102.752972,2213.680746574493,5368.4,30.8757594224,70.29935061699999,101.1751100394,540.9638404724901,405.75379554,33.498383051999994,1081.39112910389,0.39321357845437993,0.20143639242677336,3192.3189036783824,0.9714481110567407,0.028551888943259256,Uruguay
2019,266.61741600000005,2074.1650650649776,5342.2,24.4049022423,73.28202071999999,97.68692296229999,688.5785226541783,407.30958542,33.5249185197,1227.0999495561782,0.3383526728810186,0.22969936534689422,3034.647598621156,0.9801117241907418,0.019888275809258123,Uruguay
2020,106.5407151,2120.3154051860356,5366.4,69.10614506094001,90.97701737000001,160.08316243094,348.3807626377883,465.959499232,36.524695484700004,1010.9481197854284,0.37525616616093393,0.18838478678172116,3024.722809871464,0.9316422438417438,0.06835775615825632,Uruguay
2021,269.3889517,2374.5904422271387,5644.8,202.94338344378005,88.76241807440003,291.70580151818007,453.8144212031984,427.5318766088,37.554889686799996,1210.606989016978,0.3729452753910039,0.2144641066144023,3315.8084795441173,0.8323622899215446,0.16763771007845543,Uruguay
2022,122.8303193,2497.0448662714125,5669.5,113.2170840146,80.79111261199998,194.00819662659998,486.6384489880882,409.6023559378,37.70461797440001,1127.9536195268884,0.41876965287440027,0.1989511631584599,3502.1681664983007,0.8996261175507482,0.10037388244925181,Uruguay
2023,21.9655701,2400.917799975429,6130.3,82.9907695882,97.76769445040003,180.75846403860004,302.6325416527506,407.8750840788,35.44987567620001,926.7159654463509,0.38806456941347545,0.15116975767031807,3305.6681953217794,0.910446379815818,0.08955362018418196,Uruguay
2024,174.255178,2261.477372969272,6842.4,11.722185366,156.7626155288,168.4848008948,630.0556675964683,406.60231456580004,36.597935841,1241.7407188980683,0.305042411283946,0.18147736450632357,3328.9629138673404,0.9905598768022986,0.009440123197701345,Uruguay
